Bernabei Code;Name;Current Price;Ordinary Price;Lowest Price 30 Days;Tags;Category;Last Checked;Link;Image URL
1817;Merlot Sito Dell'Ulmo Planeta 2020;20,0;;;BEST PRICE,BEST PRICE,È il prezzo più basso in 30 gg;/vino-online/;2026-02-09 06:50:34.952317;https://www.bernabei.it/merlot-sito-dell-ulmo-planeta-2020;https://www.bernabei.it/ARTICOLI200/S_992.png
1760;Bariletta Telaro 2024;9,8;;;BEST PRICE,BEST PRICE,È il prezzo più basso in 30 gg;/vino-online/;2026-02-09 06:50:34.980333;https://www.bernabei.it/bariletta-telaro;https://www.bernabei.it/ARTICOLI200/S_919.png
20015;Blanc de Morgex et de la Salle Cave Mont Blanc 2023;14,9;;13,5;POPULAR,POPULAR,Prezzo più basso:;/vino-online/;2026-02-09 06:50:35.013339;https://www.bernabei.it/blanc-de-morgex-et-de-la-salle-cave-mont-blanc;https://www.bernabei.it/ARTICOLI200/S_12601.png
1783;San Leonardo Tenuta San Leonardo 2020;90,0;;;Spedizione gratuita,Premiato,BEST PRICE,BEST PRICE,È il prezzo più basso in 30 gg;/vino-online/;2026-02-09 06:50:34.721291;https://www.bernabei.it/san-leonardo-tenuta-san-leonardo;https://www.bernabei.it/ARTICOLI200/S_952.png
104947916380881770590632;Zibibbo Oxydia Florio 75cl;11,5;;;BEST PRICE,BEST PRICE,È il prezzo più basso in 30 gg;/vino-online/;2026-02-08 22:44:18.910155;https://www.bernabei.it/zibibbo-oxydia-florio-75cl;https://www.bernabei.it/ARTICOLI200/S_6586.png
759019505384371770590632;Fiano L'Archetipo 2024;12,8;;;Vini Biologici,BEST PRICE,BEST PRICE,È il prezzo più basso in 30 gg;/vino-online/;2026-02-08 22:44:18.918653;https://www.bernabei.it/fiano-l-archetipo;https://www.bernabei.it/ARTICOLI200/S_5011.png
187211892711751770590632;Promis Ca' Marcanda Gaja 2023;44,0;;;BEST PRICE,BEST PRICE,È il prezzo più basso in 30 gg;/vino-online/;2026-02-08 22:44:18.925586;https://www.bernabei.it/promis-ca-marcanda-gaja;https://www.bernabei.it/ARTICOLI200/S_1053.png
1591;Frascati Superiore Vigneto Filonardi Villa Simone 2023;14,5;;;BEST PRICE,BEST PRICE,È il prezzo più basso in 30 gg;/vino-online/;2026-02-09 06:50:35.816304;https://www.bernabei.it/frascati-superiore-vigneto-filonardi-villa-simone;https://www.bernabei.it/ARTICOLI200/S_701.png
15056;Ribolla Gialla Damijan Podversic 2021;40,9;;;BEST PRICE,BEST PRICE,È il prezzo più basso in 30 gg;/vino-online/;2026-02-09 06:50:34.158738;https://www.bernabei.it/ribolla-gialla-damijan-podversic;https://www.bernabei.it/ARTICOLI200/S_9110.png
1528;Mater Matuta Casale Del Giglio 2019;50,5;;47,5;Spedizione gratuita,POPULAR,POPULAR,Prezzo più basso:;/vino-online/;2026-02-09 06:50:35.840755;https://www.bernabei.it/mater-matuta-2019-casale-del-giglio;https://www.bernabei.it/ARTICOLI200/S_624.png
18447;Furore Rosso Marisa Cuomo 2024;25,1;;24,9;POPULAR,POPULAR,Prezzo più basso:;/vino-online/;2026-02-09 06:50:35.453261;https://www.bernabei.it/costa-d-amalfi-doc-furore-rosso-marisa-cuomo;https://www.bernabei.it/ARTICOLI200/S_11504.png
20208;Magnum Langhe Arneis Blangé Ceretto 2024;38,5;;;BEST PRICE,BEST PRICE,È il prezzo più basso in 30 gg;/vino-online/;2026-02-09 06:50:35.478279;https://www.bernabei.it/magnum-langhe-arneis-blange-ceretto;https://www.bernabei.it/ARTICOLI200/S_12746.png
19134;Iselis Monica Di Sardegna Superiore Argiolas 2020;15,6;;;BEST PRICE,BEST PRICE,È il prezzo più basso in 30 gg;/vino-online/;2026-02-09 06:50:33.376417;https://www.bernabei.it/monica-di-sardegna-doc-superiore-iselis-rosso-argiolas;https://www.bernabei.it/ARTICOLI200/S_11833.png
